State,Action 0 (Stand),Action 1 (Hit),Best Action
[15  5  0],-0.15955837064393985,-0.46652035293314387,Stand
[15  6  0],-0.15337432083445907,-0.4002905505939386,Stand
[15  7  0],-0.48140507790425113,-0.2895395351721703,Hit
[15  8  0],-0.5155295774023421,-0.38335987832719165,Hit
[15  9  0],-0.5628699038643579,-0.4545634861359464,Hit
[15 10  0],-0.5430546946001237,-0.5343055614104301,Hit
[15 11  0],-0.664742334135062,-0.29258824556349766,Hit
[16  2  0],-0.2895252522525047,-0.48692165421667616,Stand
[16  3  0],-0.25077381689811545,-0.46316262800220065,Stand
[16  4  0],-0.21716468391522348,-0.43458878280692914,Stand
[16  5  0],-0.15685766459482842,-0.43091656990982063,Stand
[16  6  0],-0.16274205692028162,-0.3802386339033357,Stand
[16  7  0],-0.4752456812317583,-0.2621575050688585,Hit
[16  8  0],-0.5152705319865372,-0.5089648535288731,Hit
[16  9  0],-0.5554780502601602,-0.4765915019337242,Hit
[16 10  0],-0.5379049045825559,-0.5799628701995949,Stand
[16 11  0],-0.656768938087375,-0.4261308706267515,Hit
[17  2  0],-0.14515983454255924,-0.42507783931542525,Stand
[17  3  0],-0.12122849119424037,-0.44267418197603625,Stand
[17  4  0],-0.07658092152245813,-0.4692075840051029,Stand
[17  5  0],-0.04831698735402633,-0.4888209154204592,Stand
[17  6  0],0.03718358896572881,-0.47745231968592294,Stand
[17  7  0],-0.09858700440523736,-0.4604031559824524,Stand
[17  8  0],-0.3778647959452525,-0.4583385284584919,Stand
[17  9  0],-0.41157156726379274,-0.43016477317852314,Stand
[17 10  0],-0.41677405988591304,-0.6216296847994613,Stand
[17 11  0],-0.46191169937010823,-0.36714335237308504,Hit
[18  2  0],0.13954661034174673,-0.5846595650628945,Stand
[18  3  0],0.16357773791360347,-0.5615443125162536,Stand
[18  4  0],0.18961538643337322,-0.5019404529657389,Stand
[18  5  0],0.1989737325181815,-0.5716054758867415,Stand
[18  6  0],0.29958850960463373,-0.39883070020078937,Stand
[18  7  0],0.4164339543120817,-0.5181992523059031,Stand
[18  8  0],0.10827629455424992,-0.603761887346319,Stand
[18  9  0],-0.18016359280196015,-0.5801718955860629,Stand
[18 10  0],-0.1891403901542954,-0.6321889742018098,Stand
[18 11  0],-0.08685388300436638,-0.4728252961462396,Stand
[19  2  0],0.379818457094773,-0.6471121536069879,Stand
[19  3  0],0.4026719836120402,-0.5702048293148783,Stand
[19  4  0],0.43475579533317865,-0.6752487467858808,Stand
[19  5  0],0.4212285423353954,-0.5028177641478486,Stand
[19  6  0],0.4929567165070164,-0.7446342789067919,Stand
[19  7  0],0.613254387070069,-0.599046720190245,Stand
[19  8  0],0.590774440420613,-0.6643999306143762,Stand
[19  9  0],0.26764652428276214,-0.6570099921753333,Stand
[19 10  0],0.0644373952684896,-0.718960223417865,Stand
[19 11  0],0.28738667840979415,-0.6124700718741196,Stand
[20  2  0],0.6516524880359726,-0.7500899736896225,Stand
[20  3  0],0.6594914749525804,-0.7885637858194665,Stand
[20  4  0],0.6514475885183044,-0.757240471339349,Stand
[20  5  0],0.6672897517652044,-0.8236332384499669,Stand
[20  6  0],0.7122956701005685,-0.8039016966380681,Stand
[20  7  0],0.7720644358199609,-0.8072583615468437,Stand
[20  8  0],0.7903088771388057,-0.8411212942485362,Stand
[20  9  0],0.758221743980692,-0.8017329885772142,Stand
[20 10  0],0.5647536388074378,-0.8532390765368085,Stand
[20 11  0],0.6549319359608243,-0.704178172129662,Stand
[21  2  0],0.8914330645039272,-0.6366259481032261,Stand
[21  3  0],0.868197337745138,-0.6559263023408985,Stand
[21  4  0],0.8630898559066605,-0.6170368880212029,Stand
[21  5  0],0.8854373845236685,-0.5374780578950727,Stand
[21  6  0],0.8930258324225815,-0.6042580145391437,Stand
[21  7  0],0.8977149558806743,-0.6230344813921904,Stand
[21  8  0],0.901998797465806,-0.6830112423574218,Stand
[21  9  0],0.932980791247351,-0.594067853286142,Stand
[21 10  0],0.9638890620003029,-0.9674544533388848,Stand
[21 11  0],0.886744992887085,-0.5486819251612982,Stand
[12  2  1],-0.12566094280212717,-0.03570879796406478,Hit
[12  3  1],-0.14021262916945243,-0.005728350500535475,Hit
[12  4  1],-0.12300728361579304,0.015715497914885534,Hit
[12  5  1],-0.16392909074586282,-0.0033249679360453734,Hit
