State,Action 0 (Stand),Action 1 (Hit),Action 2 (Double),Best Action
"(21, 3, 0)",0.8852567313377323,-0.7279622499010794,-1.2444483040863128,Stand
"(21, 4, 0)",0.8775273293100423,-0.7548111109724109,-1.3580113659477597,Stand
"(21, 5, 0)",0.8919913843276859,-0.7249298018831145,-1.3939863192521693,Stand
"(21, 6, 0)",0.9143829852876948,-0.7323046132531221,-1.2823924981529817,Stand
"(21, 7, 0)",0.9279828563823498,-0.7597684719563405,-1.458698831111211,Stand
"(21, 8, 0)",0.9300242159761183,-0.8224804085957609,-1.6453288125619654,Stand
"(21, 9, 0)",0.9523013854274864,-0.773719026092303,-1.5531275774630102,Stand
"(21, 10, 0)",0.9619791320399979,-0.9956457068872351,-1.8963584929575745,Stand
"(21, 11, 0)",0.918193954851781,-0.7431866569367261,-1.4691898163176458,Stand
"(12, 2, 1)",-0.08133374985931366,0.018295524232735665,-0.16283296946942558,Hit
"(12, 3, 1)",-0.018814574808334643,0.034146130439529826,-0.38049675132224847,Hit
"(12, 4, 1)",-0.03777497641499866,0.027956792061040667,-0.21816021736089636,Hit
"(12, 5, 1)",-0.09610657617532173,0.09820121262213233,-0.2841879014600655,Hit
"(12, 6, 1)",-0.1345540181099269,0.05715375862582513,-0.297069253120649,Hit
"(12, 7, 1)",0.010585932503323164,0.025149086463227173,-0.29838279879973195,Hit
"(12, 8, 1)",-0.0960770029078018,0.04505408706519162,-0.3073559398061867,Hit
"(12, 9, 1)",-0.16883966916727466,-0.020603572980527996,-0.4183227893682054,Hit
"(12, 10, 1)",-0.21139030777623918,-0.12976892751991553,-0.4852476504291717,Hit
"(12, 11, 1)",-0.08686518655280404,-0.028587993348344998,-0.2834377285548055,Hit
"(13, 2, 1)",-0.12555314032331752,0.00471409708484807,-0.39454463731090017,Hit
"(13, 3, 1)",-0.14111129548837298,0.05503691356595594,-0.44479119949831025,Hit
"(13, 4, 1)",0.004216654594394673,0.050244427969561134,-0.013221386188450712,Hit
"(13, 5, 1)",-0.14495863081887267,0.09016480183761982,-0.11512864516229449,Hit
"(13, 6, 1)",0.005779847572001484,0.06726087425343519,-0.014761097910769946,Hit
"(13, 7, 1)",-0.08321899122125263,-0.012302615915497993,-0.47741863600631596,Hit
"(13, 8, 1)",-0.15640826280673864,-0.03403146242144606,-0.2952903917759647,Hit
"(13, 9, 1)",-0.1615885462604119,-0.057475651404600994,-0.6951515749711141,Hit
"(13, 10, 1)",-0.28567044254567,-0.1412445435956986,-0.47053952689145173,Hit
"(13, 11, 1)",-0.11021618372807993,-0.0564726244542263,-0.44617287480514645,Hit
"(14, 2, 1)",-0.07013621721523378,-0.02268734743731997,-0.2106879738707744,Hit
"(14, 3, 1)",-0.14884190435621025,0.008017006767316433,-0.018112013697183446,Hit
"(14, 4, 1)",-0.056423771035792714,0.0351678819722883,-0.11575635420752349,Hit
"(14, 5, 1)",-0.07017000492455923,0.07066431006018203,-0.06936597108920292,Hit
"(14, 6, 1)",-0.13788599578255917,0.04508640653725915,-0.014492033580743274,Hit
"(14, 7, 1)",-0.16451467914753065,-0.006569839355628762,-0.629752903760407,Hit
"(14, 8, 1)",-0.24105754583735567,-0.011995337742958363,-0.40977795020125174,Hit
"(14, 9, 1)",-0.3487374155559702,-0.12960759280862985,-0.8464144428289343,Hit
"(14, 10, 1)",-0.4387926710199008,-0.19514612428577904,-0.5419773285389058,Hit
"(14, 11, 1)",-0.2005368623165371,-0.09505048892308912,-0.5101514153662468,Hit
"(15, 2, 1)",-0.3084093394029064,-0.0164437593843413,-0.5651531015634726,Hit
"(15, 3, 1)",-0.16798118652308913,0.028804879397322767,-0.0034448760480517635,Hit
"(15, 4, 1)",-0.06973996007372807,-0.0038615422878712467,-0.24506046052795918,Hit
"(15, 5, 1)",-0.046217369103954804,0.044701564590816506,-0.17136383993778637,Hit
"(15, 6, 1)",-0.049589452906293824,0.0637505492374684,0.007924973735665072,Hit
"(15, 7, 1)",-0.13962650089163842,-0.03716700019782372,-0.22968333390038204,Hit
"(15, 8, 1)",-0.2544453455755515,-0.06287257259739339,-0.5096610314499818,Hit
"(15, 9, 1)",-0.3593456679226539,-0.139884027297476,-0.40853115717878946,Hit
"(15, 10, 1)",-0.358578962607199,-0.22784324685615115,-0.3394279933888052,Hit
"(15, 11, 1)",-0.34781784407501315,-0.14769847606565167,-0.537919976541343,Hit
"(16, 2, 1)",-0.18555174071415842,-0.04724938018285672,-0.31863925619113376,Hit
"(16, 3, 1)",-0.08008429122264452,-0.030009845275257754,-0.15689196198796765,Hit
"(16, 4, 1)",-0.016024936741157153,0.005107857002311367,0.10514506408468086,Double
"(16, 5, 1)",-0.0007863102253857844,0.060588194170223125,-0.253925843688788,Hit
"(16, 6, 1)",-0.24626131868520346,0.04248616864831735,-0.4770084995096197,Hit
"(16, 7, 1)",-0.19584228912953222,-0.07293876606626003,-0.553452201678748,Hit
"(16, 8, 1)",-0.15300494648598184,-0.08447432219324863,-0.13145505222035186,Hit
"(16, 9, 1)",-0.29971739132855024,-0.17189798814765855,-0.34715153573964486,Hit
"(16, 10, 1)",-0.3687952884371011,-0.2373144071373609,-0.7425834007541303,Hit
"(16, 11, 1)",-0.26033807817115123,-0.17830324920499066,-0.5137904645550182,Hit
"(17, 2, 1)",-0.2569855948071407,-0.16936513579991586,0.04710004392727392,Double
"(17, 3, 1)",-0.15297876367945623,-0.006120525102981993,-0.21379140487851284,Hit
"(17, 4, 1)",-0.069062312887402,-0.03312082824749844,-0.24120888837497567,Hit
"(17, 5, 1)",-0.08290171388750486,0.00976440258067503,0.23242951117623178,Double
"(17, 6, 1)",-0.15623332446110494,0.08934823126804357,0.06247196635247293,Hit
"(17, 7, 1)",-0.023224521806969538,0.03823861766125865,-0.05450624691181748,Hit
"(17, 8, 1)",-0.1551650723169274,-0.09027737454969562,-0.1727136221911848,Hit
"(17, 9, 1)",-0.2653615781319875,-0.16943512277002787,-0.18002339373868925,Hit
"(17, 10, 1)",-0.2914011167372101,-0.2239800195484409,-0.5752676288928791,Hit
"(17, 11, 1)",-0.24755299708180856,-0.15594855552038878,-0.36504675650274004,Hit
"(18, 2, 1)",0.01866722460332516,0.046225832881203396,0.007715708631785639,Hit
"(18, 3, 1)",-0.09187116449970809,0.08346300848237499,-0.04327761793324199,Hit
"(18, 4, 1)",0.12335801288108865,-0.005205464046977692,0.06582360453214982,Stand
"(18, 5, 1)",0.22590366153913882,0.023574498820595733,0.09587171433103343,Stand
"(18, 6, 1)",0.2756619476873401,0.05867302667911102,0.09806868449725123,Stand
"(18, 7, 1)",0.37432457575116707,0.028636040599507116,-0.11720408593492374,Stand
"(18, 8, 1)",0.07968035640725284,-0.03401735175877265,-0.05812727421010095,Stand
"(18, 9, 1)",-0.19018307523962563,-0.1098074497776287,-0.29794374745886837,Hit
"(18, 10, 1)",-0.263240622106128,-0.17344873753359713,-0.2950661168024391,Hit
"(18, 11, 1)",-0.23030663067962523,-0.07352424018774614,-0.49867715963655845,Hit
"(19, 2, 1)",0.3825928125369328,0.0666263434447066,0.018972792763562927,Stand
"(19, 3, 1)",0.3546005715068888,0.07880076476085476,0.1343313746302669,Stand
"(19, 4, 1)",0.37611624070914584,0.11876723396705306,0.10803949192796067,Stand
"(19, 5, 1)",0.4195912000689296,0.08551627127326988,0.21092694178832433,Stand
"(19, 6, 1)",0.4451529893787327,0.018444183918390467,0.13516471326068147,Stand
"(19, 7, 1)",0.6227614696356429,0.1429637240411214,-0.013644036725135394,Stand
"(19, 8, 1)",0.5751307026841344,0.07624537936504885,-0.16880429646294665,Stand
"(19, 9, 1)",0.2978948554940184,0.06293252885395992,0.01357258969636382,Stand
"(19, 10, 1)",0.06785237818636364,-0.15370458619681915,0.04594598659192732,Stand
"(19, 11, 1)",0.3014158126515211,0.06434991663947216,-0.021320428242618344,Stand
"(20, 2, 1)",0.6611169755875888,-0.03084349088653525,-0.2876006340361136,Stand
"(20, 3, 1)",0.6861385426910429,-0.06449576141116092,-0.07084340477229717,Stand
"(20, 4, 1)",0.6118237976851562,0.026642663107036602,0.3599653405458129,Stand
"(20, 5, 1)",0.6411901863422251,0.031246085714342387,0.20747193666697453,Stand
"(20, 6, 1)",0.714970335073946,0.026415589269092217,0.053471853066601904,Stand
"(20, 7, 1)",0.7847020952650979,0.008225518000692619,0.12058336743806938,Stand
"(20, 8, 1)",0.8123142671928126,0.019832903916376904,-0.015503098642182142,Stand
"(20, 9, 1)",0.7541086945764537,0.014344213699758305,-0.10411949960529153,Stand
"(20, 10, 1)",0.555327334530135,-0.012401128952031378,-0.14195195561998936,Stand
"(20, 11, 1)",0.6666815919250225,-0.002984834056940399,0.044775719396615773,Stand
"(21, 2, 1)",0.86522430810474,-0.03975325328674038,-0.09937900292069235,Stand
"(21, 3, 1)",0.8657085361351293,-0.03587259190438004,0.006403634995716008,Stand
"(21, 4, 1)",0.8628785185920641,-0.09987644286556907,0.04772671981056668,Stand
"(21, 5, 1)",0.8959219241561274,-0.012234674898776969,-0.23996988404587058,Stand
"(21, 6, 1)",0.8804273974313623,-0.04985145840695868,-0.0371069755321135,Stand
"(21, 7, 1)",0.8845137655457502,-0.005531365714436479,-0.1102009119613013,Stand
"(21, 8, 1)",0.9152618368942326,-0.1174912780937047,-0.021001942791697814,Stand
"(21, 9, 1)",0.9343634905826304,-0.00404643053699379,-0.04185363538693339,Stand
"(21, 10, 1)",0.9597098691199306,0.0193219069902191,0.034532520933617916,Stand
"(21, 11, 1)",0.8982338939196637,-0.062074526402376096,-0.05269885540003271,Stand
