State,Action 0 (Stand),Action 1 (Hit),Action 2 (Double),Best Action
"(11, 2, 0)",0.0,0.0,1.0,Double
"(11, 3, 0)",0.0,0.0,1.0,Double
"(11, 4, 0)",0.0,0.0,1.0,Double
"(11, 5, 0)",0.0,0.0,1.0,Double
"(11, 6, 0)",0.0,0.0,1.0,Double
"(11, 7, 0)",0.0,0.0,1.0,Double
"(11, 8, 0)",0.0,0.0,1.0,Double
"(11, 9, 0)",0.0,0.0,1.0,Double
"(11, 10, 0)",0.0,0.0,1.0,Double
"(11, 11, 0)",0.0,1.0,0.0,Hit
"(12, 2, 0)",0.0,1.0,0.0,Hit
"(12, 3, 0)",0.0,1.0,0.0,Hit
"(12, 4, 0)",1.0,0.0,0.0,Stand
"(12, 5, 0)",1.0,0.0,0.0,Stand
"(12, 6, 0)",1.0,0.0,0.0,Stand
"(12, 7, 0)",0.0,1.0,0.0,Hit
"(12, 8, 0)",0.0,1.0,0.0,Hit
"(12, 9, 0)",0.0,1.0,0.0,Hit
"(12, 10, 0)",0.0,1.0,0.0,Hit
"(12, 11, 0)",0.0,1.0,0.0,Hit
"(13, 2, 0)",1.0,0.0,0.0,Stand
"(13, 3, 0)",1.0,0.0,0.0,Stand
"(13, 4, 0)",1.0,0.0,0.0,Stand
"(13, 5, 0)",1.0,0.0,0.0,Stand
"(13, 6, 0)",1.0,0.0,0.0,Stand
"(13, 7, 0)",0.0,1.0,0.0,Hit
"(13, 8, 0)",0.0,1.0,0.0,Hit
"(13, 9, 0)",0.0,1.0,0.0,Hit
"(13, 10, 0)",0.0,1.0,0.0,Hit
"(13, 11, 0)",0.0,1.0,0.0,Hit
"(14, 2, 0)",1.0,0.0,0.0,Stand
"(14, 3, 0)",1.0,0.0,0.0,Stand
"(14, 4, 0)",1.0,0.0,0.0,Stand
"(14, 5, 0)",1.0,0.0,0.0,Stand
"(14, 6, 0)",1.0,0.0,0.0,Stand
"(14, 7, 0)",0.0,1.0,0.0,Hit
"(14, 8, 0)",0.0,1.0,0.0,Hit
"(14, 9, 0)",0.0,1.0,0.0,Hit
"(14, 10, 0)",0.0,1.0,0.0,Hit
"(14, 11, 0)",0.0,1.0,0.0,Hit
"(15, 2, 0)",1.0,0.0,0.0,Stand
"(15, 3, 0)",1.0,0.0,0.0,Stand
"(15, 4, 0)",1.0,0.0,0.0,Stand
"(15, 5, 0)",1.0,0.0,0.0,Stand
"(15, 6, 0)",1.0,0.0,0.0,Stand
"(15, 7, 0)",0.0,1.0,0.0,Hit
"(15, 8, 0)",0.0,1.0,0.0,Hit
"(15, 9, 0)",0.0,1.0,0.0,Hit
"(15, 10, 0)",0.0,1.0,0.0,Hit
"(15, 11, 0)",0.0,1.0,0.0,Hit
"(16, 2, 0)",1.0,0.0,0.0,Stand
"(16, 3, 0)",1.0,0.0,0.0,Stand
"(16, 4, 0)",1.0,0.0,0.0,Stand
