State,Action 0 (Stand),Action 1 (Hit),Best Action
"(12, 4, 1)",0.0017592834482379263,0.06505916862217227,Hit
"(12, 5, 1)",-0.048463857952078415,0.06055608884403396,Hit
"(12, 6, 1)",-0.11616151573099037,0.04681125024136534,Hit
"(12, 7, 1)",0.02348096040620748,0.05650899381926792,Hit
"(12, 8, 1)",-0.09156600032818621,-0.02012526691903139,Hit
"(12, 9, 1)",-0.15293380078414873,-0.04637404565854995,Hit
"(12, 10, 1)",-0.05651057476213504,-0.05223349930865169,Hit
"(12, 11, 1)",-0.05059156150851861,-0.0352021950947297,Hit
"(13, 2, 1)",-0.0471530894066733,0.0033981423900460257,Hit
"(13, 3, 1)",-0.11884198948310824,0.01766200069844641,Hit
"(13, 4, 1)",-0.05904364147982114,0.058301399909976216,Hit
"(13, 5, 1)",-0.12082119320579197,0.05519985454588762,Hit
"(13, 6, 1)",-0.007751308994907124,0.07323560230776574,Hit
"(13, 7, 1)",-0.10857819751485365,0.02496873778651828,Hit
"(13, 8, 1)",-0.07391921707594187,-0.024737120702858315,Hit
"(13, 9, 1)",-0.043458289387080434,-0.03050241189043098,Hit
"(13, 10, 1)",-0.26719059432343206,-0.09890692858405561,Hit
"(13, 11, 1)",-0.0874195363119757,-0.059404388973999335,Hit
"(14, 2, 1)",-0.023336508787308412,-0.001876970459237744,Hit
"(14, 3, 1)",-0.11024221846451325,0.005937954857652346,Hit
"(14, 4, 1)",-0.08785783473161275,0.031038571025913703,Hit
"(14, 5, 1)",-0.06917768006483936,0.04836365947081038,Hit
"(14, 6, 1)",-0.06735623024967063,0.07469028988795778,Hit
"(14, 7, 1)",-0.17565550454297502,0.03271005996208827,Hit
"(14, 8, 1)",-0.10160761217407441,-0.043134201287381116,Hit
"(14, 9, 1)",-0.2770371121218894,-0.07746205212910126,Hit
"(14, 10, 1)",-0.2765522820348788,-0.11991956539336035,Hit
"(14, 11, 1)",-0.13026215855184065,-0.12323913517350225,Hit
"(15, 2, 1)",-0.24259663308424262,-0.04406826336106959,Hit
"(15, 3, 1)",-0.036038609828481824,0.00628573209377563,Hit
"(15, 4, 1)",-0.020516191531052358,0.014889351732250573,Hit
"(15, 5, 1)",-0.06145723779879501,0.04149856454184943,Hit
"(15, 6, 1)",-0.04557631135349765,0.059117805772981785,Hit
"(15, 7, 1)",-0.11786999225026303,-0.054142189749705916,Hit
"(15, 8, 1)",-0.2241279250048793,-0.0860966685244688,Hit
